btc,etc,xpr,ltc,eth
9728.50 ,6.83 ,0.20260 ,46.314 ,243.560 
9783.20 ,6.91 ,0.20400 ,46.415 ,246.340 
9746.26 ,6.82 ,0.20330 ,46.616 ,244.570 
9668.40 ,6.87 ,0.20370 ,46.788 ,242.030 
9620.51 ,6.86 ,0.20280 ,46.837 ,240.240 
9790.70 ,6.93 ,0.20440 ,47.432 ,243.310 
9672.01 ,6.94 ,0.20400 ,47.160 ,244.500 
9530.00 ,6.99 ,0.20320 ,45.989 ,237.880 
10221.00 ,7.16 ,0.21100 ,48.162 ,247.920 
9452.10 ,6.97 ,0.20250 ,45.632 ,231.690 
9706.40 ,7.49 ,0.20700 ,47.720 ,243.600 
9426.20 ,7.22 ,0.19760 ,44.486 ,220.670 
9589.30 ,6.86 ,0.20040 ,44.721 ,220.260 
9210.30 ,6.78 ,0.19790 ,43.842 ,208.240 
8845.50 ,6.69 ,0.19370 ,42.289 ,200.960 
8902.00 ,6.84 ,0.19620 ,42.965 ,204.090 
8711.50 ,6.58 ,0.19260 ,42.089 ,199.670 
9174.59 ,6.52 ,0.19880 ,43.866 ,206.580 
9162.40 ,6.44 ,0.20040 ,44.213 ,207.250 
9059.50 ,6.14 ,0.19440 ,42.732 ,198.800 
9502.00 ,6.45 ,0.20180 ,44.221 ,209.960 
9770.10 ,6.67 ,0.20480 ,45.744 ,214.600 
9714.83 ,6.71 ,0.20540 ,45.335 ,214.900 
9668.20 ,6.67 ,0.20140 ,43.713 ,206.990 
9388.00 ,6.70 ,0.19970 ,43.261 ,200.540 
9313.30 ,6.51 ,0.19820 ,42.749 ,194.850 
9791.00 ,6.29 ,0.20380 ,43.991 ,203.360 
9312.00 ,6.23 ,0.20160 ,43.205 ,199.570 
8811.40 ,6.07 ,0.19710 ,42.182 ,189.790 
8555.00 ,6.03 ,0.19260 ,41.494 ,185.740 
8726.00 ,6.20 ,0.19740 ,42.077 ,187.690 
9537.90 ,7.05 ,0.21650 ,47.008 ,210.050 
9792.80 ,7.12 ,0.21860 ,47.733 ,211.370 
9979.60 ,7.09 ,0.21850 ,47.324 ,211.880 
9157.90 ,6.87 ,0.21170 ,45.025 ,198.960 
9020.10 ,7.18 ,0.21680 ,46.548 ,205.290 
8865.80 ,7.22 ,0.21800 ,46.932 ,206.590 
8899.77 ,7.21 ,0.21930 ,48.082 ,209.790 
8982.30 ,7.48 ,0.22380 ,49.146 ,213.880 
8822.89 ,6.64 ,0.21770 ,47.050 ,211.990 
8635.30 ,6.43 ,0.21150 ,46.358 ,206.180 
